block,id,count,means,std,min,25%,50%,75%,max
1,11306,8,1,0,1,1,1,1,1
1,11307,8,1,0,1,1,1,1,1
1,11308,8,1,0,1,1,1,1,1
1,11309,8,1,0,1,1,1,1,1
1,11310,8,0.875,0.353553391,0,1,1,1,1
1,11311,8,1,0,1,1,1,1,1
1,11312,8,1,0,1,1,1,1,1
1,11313,8,1,0,1,1,1,1,1
1,11314,8,1,0,1,1,1,1,1
1,11315,8,1,0,1,1,1,1,1
1,11316,8,1,0,1,1,1,1,1
1,11317,8,1,0,1,1,1,1,1
1,11318,8,1,0,1,1,1,1,1
1,11319,8,1,0,1,1,1,1,1
1,11320,8,1,0,1,1,1,1,1
2,11220,8,1,0,1,1,1,1,1
2,11221,8,1,0,1,1,1,1,1
2,11222,8,0.625,0.51754917,0,0,1,1,1
2,11224,8,1,0,1,1,1,1,1
2,11225,8,0.625,0.51754917,0,0,1,1,1
2,11226,4,1,0,1,1,1,1,1
2,11229,6,1,0,1,1,1,1,1
2,11230,8,1,0,1,1,1,1,1
2,11232,8,1,0,1,1,1,1,1
2,11234,8,0.75,0.46291005,0,0.75,1,1,1
2,11236,8,1,0,1,1,1,1,1
2,11237,8,0.875,0.353553391,0,1,1,1,1
2,11238,8,1,0,1,1,1,1,1
2,11240,3,1,0,1,1,1,1,1
2,11241,8,0.875,0.353553391,0,1,1,1,1
2,11242,8,1,0,1,1,1,1,1
2,11243,8,1,0,1,1,1,1,1
2,11285,8,1,0,1,1,1,1,1
2,11287,8,0.875,0.353553391,0,1,1,1,1
2,11288,2,1,0,1,1,1,1,1
2,11289,2,1,0,1,1,1,1,1
2,11290,8,0.875,0.353553391,0,1,1,1,1
2,11291,8,0.75,0.46291005,0,0.75,1,1,1
2,11292,8,0.875,0.353553391,0,1,1,1,1
2,11293,3,1,0,1,1,1,1,1
2,11294,4,1,0,1,1,1,1,1
2,11295,8,0.875,0.353553391,0,1,1,1,1
2,11296,8,1,0,1,1,1,1,1
2,11297,5,1,0,1,1,1,1,1
2,11298,8,1,0,1,1,1,1,1
2,11299,8,1,0,1,1,1,1,1
2,11300,8,1,0,1,1,1,1,1
2,11301,8,1,0,1,1,1,1,1
2,11302,8,1,0,1,1,1,1,1
2,11303,5,1,0,1,1,1,1,1
2,11305,8,1,0,1,1,1,1,1
2,11306,3,1,0,1,1,1,1,1
2,11307,4,1,0,1,1,1,1,1
2,11308,6,1,0,1,1,1,1,1
2,11309,4,1,0,1,1,1,1,1
2,11310,8,0.875,0.353553391,0,1,1,1,1
2,11311,2,1,0,1,1,1,1,1
2,11312,4,1,0,1,1,1,1,1
2,11313,3,1,0,1,1,1,1,1
2,11314,3,1,0,1,1,1,1,1
2,11315,6,1,0,1,1,1,1,1
2,11317,6,1,0,1,1,1,1,1
2,11318,4,1,0,1,1,1,1,1
2,11319,8,0.875,0.353553391,0,1,1,1,1
2,11320,4,1,0,1,1,1,1,1
3,11220,4,1,0,1,1,1,1,1
3,11222,8,1,0,1,1,1,1,1
3,11224,4,1,0,1,1,1,1,1
3,11225,8,0.75,0.46291005,0,0.75,1,1,1
3,11230,3,1,0,1,1,1,1,1
3,11232,7,1,0,1,1,1,1,1
3,11234,8,1,0,1,1,1,1,1
3,11236,2,1,0,1,1,1,1,1
3,11237,8,0.875,0.353553391,0,1,1,1,1
3,11238,5,1,0,1,1,1,1,1
3,11241,8,1,0,1,1,1,1,1
3,11242,4,1,0,1,1,1,1,1
3,11243,3,1,0,1,1,1,1,1
3,11285,5,1,0,1,1,1,1,1
3,11287,8,1,0,1,1,1,1,1
3,11290,8,1,0,1,1,1,1,1
3,11291,8,1,0,1,1,1,1,1
3,11292,8,0.75,0.46291005,0,0.75,1,1,1
3,11295,8,0.875,0.353553391,0,1,1,1,1
3,11296,1,1,,1,1,1,1,1
3,11298,1,1,,1,1,1,1,1
3,11299,3,1,0,1,1,1,1,1
3,11300,6,1,0,1,1,1,1,1
3,11301,3,1,0,1,1,1,1,1
3,11302,3,1,0,1,1,1,1,1
3,11310,8,1,0,1,1,1,1,1
3,11319,8,1,0,1,1,1,1,1
4,11222,7,1,0,1,1,1,1,1
4,11225,8,1,0,1,1,1,1,1
4,11234,4,1,0,1,1,1,1,1
4,11237,8,0.625,0.51754917,0,0,1,1,1
4,11241,4,1,0,1,1,1,1,1
4,11287,2,1,0,1,1,1,1,1
4,11290,7,1,0,1,1,1,1,1
4,11291,8,0.875,0.353553391,0,1,1,1,1
4,11292,8,1,0,1,1,1,1,1
4,11295,8,1,0,1,1,1,1,1
4,11310,4,1,0,1,1,1,1,1
4,11319,2,1,0,1,1,1,1,1
5,11225,7,1,0,1,1,1,1,1
5,11237,8,1,0,1,1,1,1,1
5,11291,8,1,0,1,1,1,1,1
5,11292,3,1,0,1,1,1,1,1
5,11295,2,1,0,1,1,1,1,1
6,11237,4,1,0,1,1,1,1,1
