id,category,count,means,std,min,25%,50%,75%,max
11270,w,5,4,2.738612788,1,2,4,5,8
11270,x,5,1.2,1.643167673,0,0,1,1,4
11270,y,5,11.2,0.836660027,10,11,11,12,12
11270,z,5,3.2,4.549725266,0,0,2,3,11
11272,a,4,3.25,1.892969449,2,2,2.5,3.75,6
11272,b,4,12.5,1,11,12.5,13,13,13
11272,w,5,4.6,2.880972058,0,5,5,5,8
11272,x,5,7,3.391164992,3,5,6,10,11
11272,y,5,5,2.915475947,3,3,4,5,10
11272,z,5,4.4,3.714835124,2,3,3,3,11
11274,a,4,2,2.449489743,0,0,1.5,3.5,5
11274,b,4,4.75,2.5,2,3.5,4.5,5.75,8
11274,w,5,0,0,0,0,0,0,0
11274,x,5,0,0,0,0,0,0,0
11274,y,5,12.8,0.447213595,12,13,13,13,13
11274,z,5,9,4,5,5,9,13,13
11276,a,4,0.75,0.957427108,0,0,0.5,1.25,2
11276,b,4,1.25,1.892969449,0,0,0.5,1.75,4
11276,w,5,3.6,3.577708764,2,2,2,2,10
11276,x,5,0,0,0,0,0,0,0
11276,y,5,12.4,0.894427191,11,12,13,13,13
11276,z,5,0,0,0,0,0,0,0
11278,a,4,3.75,3.862210075,0,0.75,3.5,6.5,8
11278,b,4,4.75,2.217355783,3,3.75,4,5,8
11278,w,5,5.2,3.962322551,2,2,3,9,10
11278,x,5,10,4.242640687,4,7,13,13,13
11278,y,5,4.6,2.19089023,1,4,6,6,6
11278,z,5,7.8,4.438468204,1,7,8,10,13
11280,a,4,1.25,0.5,1,1,1,1.25,2
11280,b,4,6,5.773502692,1,1,6,11,11
11280,w,5,1.4,0.547722558,1,1,1,2,2
11280,x,5,1.2,0.447213595,1,1,1,1,2
11280,y,5,11,0,11,11,11,11,11
11280,z,5,3,4.472135955,1,1,1,1,11
11282,a,4,0.75,1.5,0,0,0,0.75,3
11282,b,4,6.5,3.696845502,3,3.75,6,8.75,11
11282,w,5,0,0,0,0,0,0,0
11282,x,5,0,0,0,0,0,0,0
11282,y,5,11.8,2.683281573,7,13,13,13,13
11282,z,5,0,0,0,0,0,0,0
11284,a,4,3.75,5.560275773,0,0.75,1.5,4.5,12
11284,b,4,7,4.082482905,3,3.75,7,10.25,11
11284,w,5,7,3.391164992,3,4,8,9,11
11284,x,5,6,6.595452979,0,0,4,13,13
11284,y,5,5.6,3.130495168,3,4,5,5,11
11284,z,5,3.6,4.722287581,1,1,2,2,12
